Round 88 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 89 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 90 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 91 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 92 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 93 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 94 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 95 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 96 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 97 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 98 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 99 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 100 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 101 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 102 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 103 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 104 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 105 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 106 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 107 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 108 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 109 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 110 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 111 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 112 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 113 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 114 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 115 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 116 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 117 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 118 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 119 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 120 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 121 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 122 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 123 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 124 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 125 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 126 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 127 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 128 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
Round 129 | Tit For Tat played COOPERATE | Always Cooperate played COOPERATE
